SITES,BLM,BLESS,RAD51,XRCC4,ratio.BLM.BLESS,ratio.RAD51.XRCC4,Top_ratio
SITE432,493.5649549514055,603.4170969007537,17272.41738629341,2841.6457099318504,0.8179499014635709,6.0783148743435875,BLM-high
SITE133,276.1613461524248,343.79195810481906,4333.314194560051,1159.1527329087257,0.8032804131742538,3.738346182979897,BLM-high
SITE608,221.60059423744678,324.84818893671036,6165.357481122017,942.0124332904816,0.682166629781091,6.5448790942028365,BLM-high
SITE1107,229.39498667418957,339.57531036715955,1675.9784437417984,1090.7512500286102,0.6755349392927315,1.536535890926403,BLM-high
SITE657,530.6182991266251,801.0907233515754,13929.454248309135,1966.6575433015823,0.6623697961532281,7.082806203730146,BLM-high
SITE526,556.1599267721176,866.9888522382826,8916.861106872559,2447.7633079886436,0.6414845189027448,3.642860842701188,BLM-high
SITE628,191.02258977293968,375.8738004807383,5318.374740362167,1388.6879287362099,0.5082093764679102,3.829783949517161,BLM-high
SITE742,264.409799605608,521.3274458665401,4451.817706942558,1862.90763515234,0.5071856502128165,2.3897146712689863,BLM-high
SITE975,249.66040934622288,493.53495045751333,3371.002080976963,1338.649254143238,0.5058616600805768,2.518211600644017,BLM-high
SITE392,739.0283774584532,1557.5846617007628,26530.504847168922,3191.457332789898,0.47447075952294687,8.312974945516997,BLM-high
SITE600,517.0680483579636,1103.5574418194592,10967.924335539341,1925.8002797365189,0.46854656474017536,5.695255344463827,BLM-high
SITE765,562.5153560936451,1203.5314966142178,9841.082791090012,1997.874342918396,0.4673873161409708,4.925776651555895,BLM-high
SITE40,213.0867187678814,461.00650757551193,2990.0978994369507,1165.5797204375267,0.4622206308725007,2.565331094053824,BLM-high
SITE1129,452.4345422536135,1031.3966446835548,10562.68453937769,2130.5456734895706,0.43866202647229474,4.957736729519305,BLM-high
SITE601,164.5216539502144,395.3368605785072,3770.95148229599,769.8610406517982,0.4161556139983137,4.898223553569274,BLM-high
SITE369,307.45883244276047,757.6779234483838,7431.863901376724,1894.1244325637817,0.40579093428436924,3.9236407986762334,BLM-high
SITE477,264.28988510370255,657.6311570126563,4599.4180772304535,1487.3880641460419,0.4018816357550045,3.0922784632342264,BLM-high
SITE495,205.77198024094105,527.2058231243864,5365.458720207214,1156.8573821783066,0.39030672882456424,4.637960394136323,BLM-high
SITE649,219.20231890678406,577.1409368803725,6151.602610826492,1576.9067863225937,0.37980726179577773,3.901056590143963,BLM-high
SITE379,1008.2347168773413,2755.320862315595,18607.16904693842,4647.1695311665535,0.36592279711119097,4.003978964431617,BLM-high
SITE722,441.6423083394766,1253.1030934676528,5990.247397959232,1725.1865214705467,0.3524389259285449,3.472231740399382,"NA"
SITE165,172.91561533510685,491.3954653143883,5307.265034377575,1497.9466893076897,0.3518868763359014,3.543026645915182,"NA"
SITE136,204.5728436857462,602.8874166384339,2190.19910466671,979.6562086343765,0.33932180045554583,2.2356813393953874,"NA"
SITE956,253.73747743666172,757.6052262280136,4534.346949517727,1219.750029683113,0.33492044227305173,3.717439507417544,"NA"
SITE478,122.19210304319859,396.3754472127184,1923.5661700963974,578.4286863207817,0.30827364283646735,3.3255027207098733,"NA"
SITE622,346.67062482237816,1147.323350048624,6646.77805441618,2741.5683626532555,0.3021559918637463,2.4244436669759026,"NA"
SITE533,544.5282976031303,1821.904207661748,12705.799670517445,2701.629233121872,0.29887866514232603,4.703013838740277,"NA"
SITE396,258.65393954515457,866.698054375127,6108.22188270092,2025.877629995346,0.29843604498643905,3.015099131488486,"NA"
SITE919,413.9422325193882,1423.3269526399672,5449.575049936771,1917.0779344439507,0.2908272282426844,2.8426465883440586,"NA"
SITE103,132.62459859251976,457.16374900378287,1904.5209562182426,864.4295422434807,0.2901030514373141,2.2032113239389997,"NA"
SITE594,152.7701071202755,527.73550385423,1637.8880267739296,545.3756221532822,0.28948233727794315,3.00322926115973,"NA"
SITE4,100.72754323482513,356.1303336247802,2351.554350733757,485.69646948575974,0.28283898821421916,4.8416130206248145,"NA"
SITE708,176.51302753388882,635.623577952385,3578.383228123188,720.7405105233192,0.2777005662730648,4.964870401866236,"NA"
SITE561,152.7701070010662,571.3456354029477,2856.7814365029335,1013.1683488488197,0.26738649520499697,2.8196512847532795,"NA"
SITE1189,223.27938744425774,842.4990499541163,2475.8772377967834,396.63681626319885,0.2650203432946516,6.242177065463962,"NA"
SITE343,363.09880861639977,1374.8562604263425,10912.9048153162,1610.8780002593994,0.2640994692083687,6.774507326786322,"NA"
SITE953,287.91289384663105,1115.4076739028096,4570.850270271301,1352.4213621020317,0.2581234651535293,3.379753084620723,"NA"
SITE949,141.0185605287552,546.7935157194734,1682.3268496394157,528.8490887880325,0.2579009378763432,3.1811094796340047,"NA"
SITE903,159.00562116503716,628.9039437770844,2818.6910133361816,887.8421360850334,0.25282974091413374,3.1747659845986633,"NA"
SITE1191,99.88814704120159,397.5075085358694,3395.866672873497,594.9552250504494,0.25128618930776275,5.7077684670901805,"NA"
SITE1110,148.33329878747463,592.6469822209328,3445.066796541214,1069.6340048909187,0.25028946951117265,3.2207902710540153,"NA"
SITE1196,211.52784079313278,856.7795752296224,2375.8898956775665,875.9062981009483,0.24688711882101294,2.712493220825939,"NA"
SITE899,247.86170372366905,1070.8732037693262,4342.307756960392,1385.4744404554367,0.23145756458489203,3.134166629254436,"NA"
SITE219,203.493619248271,884.2293428964913,3028.7173416614532,1122.886173427105,0.23013669573742265,2.6972612303325953,"NA"
SITE778,217.40361414849758,964.896140307188,2884.820212125778,367.2563102245331,0.225312968999217,7.8550596186136525,"NA"
SITE716,258.5340273529291,1183.2687279209495,5542.155942499638,1235.358419060707,0.2184913885176225,4.486273665187438,"NA"
SITE974,164.52165362238884,753.2535566017032,2209.2443110346794,1014.5455651283264,0.21841470535449822,2.177570320121837,"NA"
SITE1031,158.6458805948496,738.5368318483233,2063.7600725889206,842.8532355427742,0.21481106121384533,2.4485402506166047,"NA"
SITE871,151.45105582475662,709.674582102336,1752.159284889698,1123.8043133616447,0.21340915913332964,1.5591320161856739,"NA"
SITE1159,321.728567391634,1507.6183994933963,9597.727360010147,1160.529943883419,0.21340185785722976,8.270124705178901,"NA"
SITE474,152.77010610699654,728.3898588046432,4361.352969944477,895.6463274359703,0.20973672856690614,4.869503548828284,"NA"
SITE72,199.77629213035107,955.1542160883546,1485.5263513326645,1570.0207364559174,0.20915605958218497,0.946182631119901,"NA"
SITE1160,146.89433388412,702.3733451431617,5027.935285806656,512.3225529789925,0.20913996081981037,9.81400341751659,"NA"
SITE101,105.76392033696175,506.63148591667414,2647.284127354622,994.346467256546,0.20875907494299867,2.6623357295758465,"NA"
SITE1123,124.95011854171753,600.2598009249195,2285.425151705742,1392.8195650577545,0.20816006394095726,1.6408623263494828,"NA"
SITE605,236.94955249130726,1150.3248590379953,5424.710492312908,1705.9055587649345,0.20598490124734475,3.179959444085736,"NA"
SITE473,155.28829537332058,754.9464477524161,3847.1323160529137,975.0655055046082,0.20569445135563735,3.945511654688242,"NA"
SITE840,205.2923251837492,1029.028677323833,4380.398178577423,1205.0597723722458,0.19950107291241617,3.6350049010052823,"NA"
SITE1034,123.39124046266079,668.8270941097289,2915.50415545702,682.637671649456,0.1844889980524877,4.270939440556061,"NA"
SITE961,170.39742730557919,940.5413536094129,1795.0110008120537,743.6940268278122,0.18116952184150498,2.4136418151273564,"NA"
SITE404,223.27938613295555,1247.598598472774,5046.980461716652,1784.8656648993492,0.17896732683595437,2.827652837392251,BLM-low
SITE173,111.63969351351261,631.271905913949,1942.611373603344,842.8532310724258,0.1768488229361036,2.304803851948948,BLM-low
SITE702,164.5216535180807,967.1498531773686,3440.305492579937,1443.3173115253448,0.1701097849289634,2.383609941561714,BLM-low
SITE779,282.3968608081341,1672.389693826437,5192.993764042854,1534.672315120697,0.16885828814336237,3.3837801808749264,BLM-low
SITE582,81.78117200732231,514.46240609698,1532.0813060998917,413.1633493900299,0.15896433060631832,3.7081733129566463,BLM-low
SITE1025,147.01424737274647,934.6629685405642,2532.483836531639,776.7470998167992,0.15729118657851918,3.26037115185746,BLM-low
SITE463,158.04631187021732,1024.271952426061,4082.5522735118866,1572.3160822987556,0.15430112236879412,2.5965213480123657,BLM-low
SITE976,99.88814704120159,671.735127216205,3047.233523964882,1139.8717834949493,0.1487016876058821,2.673312532240942,BLM-low
SITE1156,82.2608267813921,567.8871505074203,2133.0634756684303,593.5780103206635,0.14485417870062767,3.5935688967253085,BLM-low
SITE1093,117.51546666026115,826.972224727273,2334.0962381362915,776.7470980882645,0.14210328127890456,3.004962933084637,BLM-low
SITE970,199.17672516405582,1548.0504595190287,3373.118199825287,1619.6003303527832,0.12866294114594884,2.082685546927834,BLM-low
SITE516,153.00993451476097,1191.2865964621305,4041.816665351391,1430.9224075078964,0.12844090999526742,2.824623224952249,BLM-low
SITE380,223.2793872654438,1746.24337118119,5446.929887712002,1669.179933667183,0.12786269711902395,3.263237100954787,BLM-low
SITE709,312.6151226311922,2445.6048364937305,4994.6061435341835,2090.6065577864647,0.1278273243355984,2.389070351344576,BLM-low
SITE713,135.14278653264046,1057.7558969035745,3524.950859606266,1216.0774587988853,0.12776368056963916,2.8986236313333573,BLM-low
SITE566,68.95040161907673,587.9525844193995,2037.8374259471893,640.8622611165047,0.11727204445774303,3.1798368379453126,BLM-low
SITE204,217.40361368656158,1868.6300717294216,3610.654310166836,1239.490055322647,0.11634384834947777,2.913015957378504,BLM-low
SITE199,151.57096956670284,1330.841079276055,1218.893414914608,1245.4579745531082,0.11389111136331449,0.9786708502564834,BLM-low
SITE964,109.36133255064487,978.4911940023303,1066.5317392349243,495.7960195541382,0.11176527006167868,2.15115026577672,BLM-low
SITE1176,35.2546401321888,724.6094127185643,2361.605987071991,760.2205668091774,0.048653301369522194,3.106474739277577,BLM-low
